DateTime,Wind,Solar
01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST),14399,225
01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST),14157,0
01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST),13789,0
01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST),12816,0
01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST),8031,0
01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST),7678,0
01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST),7520,0
01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST),7142,0
01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST),6942,246
01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST),10361,318
01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST),10525,933
01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST),9949,2454
01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST),9505,4021
01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST),9492,4883
01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST),9209,4926
01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST),8667,4188
01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST),8035,2703
01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST),8125,971
01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST),9316,257
01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST),11235,0
01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST),12970,0
01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST),14329,0
01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST),15231,0
01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST),15469,0
02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST),15712,0
02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST),15931,0
02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST),16148,0
02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST),16062,0
02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST),15999,0
02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST),15937,0
02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST),15869,0
02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST),15714,0
02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST),15713,232
02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST),15712,281
02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST),15932,611
02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST),16293,1346
02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST),16462,1971
02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST),16553,2175
02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST),16784,2242
02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST),16765,1832
02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST),16673,1063
02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST),16576,484
02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST),16276,236
02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST),16187,0
02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST),15963,0
02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST),16114,0
02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST),16290,0
02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST),16064,0
03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST),16124,0
03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST),16055,0
03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST),14970,0
03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST),9681,0
03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST),9585,0
03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST),9515,0
03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST),14618,0
03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST),15676,0
03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST),15852,240
03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST),15974,317
03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST),15710,871
03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST),15615,1994
03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST),15795,2900
03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST),16152,3510
03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST),16208,3519
03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST),16179,2984
03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST),16269,1727
03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST),16697,647
03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST),16713,247
03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST),16596,0
03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST),16444,0
03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST),16295,0
03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST),16073,0
03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST),15563,0
04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST),14967,0
04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST),14589,0
04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST),13833,0
04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST),13421,0
04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST),12959,0
04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST),12289,0
04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST),11522,0
04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST),10522,0
04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST),9878,244
04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST),9259,369
04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST),8610,1437
04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST),7969,3397
04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST),7710,5129
04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST),7799,5620
04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST),7882,5093
04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST),7863,3921
04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST),8345,2370
04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST),9361,873
04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST),10588,262
04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST),11821,0
04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST),12269,0
04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST),12536,0
04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST),12447,0
04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST),11712,0
05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST),11381,0
05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST),11271,0
05.01.2024 02:00 - 05.01.2024 03:00 (CET/CEST),10914,0
05.01.2024 03:00 - 05.01.2024 04:00 (CET/CEST),10452,0
05.01.2024 04:00 - 05.01.2024 05:00 (CET/CEST),10158,0
05.01.2024 05:00 - 05.01.2024 06:00 (CET/CEST),9850,0
05.01.2024 06:00 - 05.01.2024 07:00 (CET/CEST),9350,0
05.01.2024 07:00 - 05.01.2024 08:00 (CET/CEST),8601,0
05.01.2024 08:00 - 05.01.2024 09:00 (CET/CEST),7897,247
05.01.2024 09:00 - 05.01.2024 10:00 (CET/CEST),7253,304
05.01.2024 10:00 - 05.01.2024 11:00 (CET/CEST),7030,680
05.01.2024 11:00 - 05.01.2024 12:00 (CET/CEST),6535,1583
05.01.2024 12:00 - 05.01.2024 13:00 (CET/CEST),6155,2588
05.01.2024 13:00 - 05.01.2024 14:00 (CET/CEST),6079,3283
05.01.2024 14:00 - 05.01.2024 15:00 (CET/CEST),5906,3293
05.01.2024 15:00 - 05.01.2024 16:00 (CET/CEST),5671,2645
05.01.2024 16:00 - 05.01.2024 17:00 (CET/CEST),5093,1628
05.01.2024 17:00 - 05.01.2024 18:00 (CET/CEST),4357,631
05.01.2024 18:00 - 05.01.2024 19:00 (CET/CEST),4169,254
05.01.2024 19:00 - 05.01.2024 20:00 (CET/CEST),4456,0
05.01.2024 20:00 - 05.01.2024 21:00 (CET/CEST),4606,0
05.01.2024 21:00 - 05.01.2024 22:00 (CET/CEST),4678,0
05.01.2024 22:00 - 05.01.2024 23:00 (CET/CEST),4830,0
05.01.2024 23:00 - 06.01.2024 00:00 (CET/CEST),4966,0
06.01.2024 00:00 - 06.01.2024 01:00 (CET/CEST),5059,0
