DateTime,Wind,Solar
01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST),28886,2
01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST),28938,2
01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST),29346,1
01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST),28786,2
01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST),29510,2
01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST),29697,2
01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST),29392,2
01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST),29923,2
01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST),29320,3
01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST),29726,1
01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST),29505,1
01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST),29689,2
01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST),28187,2
01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST),27565,2
01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST),27200,2
01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST),27202,2
01.01.2023 04:00 - 01.01.2023 04:15 (CET/CEST),27230,3
01.01.2023 04:15 - 01.01.2023 04:30 (CET/CEST),26927,2
01.01.2023 04:30 - 01.01.2023 04:45 (CET/CEST),26759,2
01.01.2023 04:45 - 01.01.2023 05:00 (CET/CEST),27009,2
01.01.2023 05:00 - 01.01.2023 05:15 (CET/CEST),27907,4
01.01.2023 05:15 - 01.01.2023 05:30 (CET/CEST),27484,2
01.01.2023 05:30 - 01.01.2023 05:45 (CET/CEST),27097,2
01.01.2023 05:45 - 01.01.2023 06:00 (CET/CEST),27122,2
01.01.2023 06:00 - 01.01.2023 06:15 (CET/CEST),27496,2
01.01.2023 06:15 - 01.01.2023 06:30 (CET/CEST),27398,2
01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST),27368,2
01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST),27206,2
01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST),27818,2
01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST),27798,2
01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST),27838,2
01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST),27580,3
01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST),27298,15
01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST),27160,110
01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST),26887,586
01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST),26562,1317
01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST),26010,2139
01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST),26017,2923
01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST),25594,3719
01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST),25362,4514
01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST),25131,5335
01.01.2023 10:15 - 01.01.2023 10:30 (CET/CEST),24748,6058
01.01.2023 10:30 - 01.01.2023 10:45 (CET/CEST),24332,6703
01.01.2023 10:45 - 01.01.2023 11:00 (CET/CEST),23842,7336
01.01.2023 11:00 - 01.01.2023 11:15 (CET/CEST),23524,7887
01.01.2023 11:15 - 01.01.2023 11:30 (CET/CEST),23453,8316
01.01.2023 11:30 - 01.01.2023 11:45 (CET/CEST),23561,8695
01.01.2023 11:45 - 01.01.2023 12:00 (CET/CEST),23439,8899
01.01.2023 12:00 - 01.01.2023 12:15 (CET/CEST),22780,8891
01.01.2023 12:15 - 01.01.2023 12:30 (CET/CEST),22161,8886
01.01.2023 12:30 - 01.01.2023 12:45 (CET/CEST),21525,8938
01.01.2023 12:45 - 01.01.2023 13:00 (CET/CEST),21146,8777
01.01.2023 13:00 - 01.01.2023 13:15 (CET/CEST),21233,8600
01.01.2023 13:15 - 01.01.2023 13:30 (CET/CEST),20898,8174
01.01.2023 13:30 - 01.01.2023 13:45 (CET/CEST),20274,7532
01.01.2023 13:45 - 01.01.2023 14:00 (CET/CEST),20114,6833
01.01.2023 14:00 - 01.01.2023 14:15 (CET/CEST),21023,6181
01.01.2023 14:15 - 01.01.2023 14:30 (CET/CEST),20980,5438
01.01.2023 14:30 - 01.01.2023 14:45 (CET/CEST),20331,4591
01.01.2023 14:45 - 01.01.2023 15:00 (CET/CEST),20730,3729
01.01.2023 15:00 - 01.01.2023 15:15 (CET/CEST),21994,2893
01.01.2023 15:15 - 01.01.2023 15:30 (CET/CEST),22639,2118
01.01.2023 15:30 - 01.01.2023 15:45 (CET/CEST),22523,1383
01.01.2023 15:45 - 01.01.2023 16:00 (CET/CEST),22211,764
01.01.2023 16:00 - 01.01.2023 16:15 (CET/CEST),21694,324
01.01.2023 16:15 - 01.01.2023 16:30 (CET/CEST),21212,84
01.01.2023 16:30 - 01.01.2023 16:45 (CET/CEST),20800,10
01.01.2023 16:45 - 01.01.2023 17:00 (CET/CEST),20366,4
01.01.2023 17:00 - 01.01.2023 17:15 (CET/CEST),20055,3
01.01.2023 17:15 - 01.01.2023 17:30 (CET/CEST),19972,3
01.01.2023 17:30 - 01.01.2023 17:45 (CET/CEST),19964,4
01.01.2023 17:45 - 01.01.2023 18:00 (CET/CEST),19981,3
