Date,EUA,TTF,SPRD GER,SPRD FR,SPRD IR
2019-01-01,27.37,22.8,20.06,32.14,169.72
2019-01-02,27.37,21.86,99.67,32.53,233.51
2019-01-03,25.28,21.93,19.01,25.31,171.0
2019-01-04,25.66,22.05,8.87,30.23,182.44
2019-01-05,25.18,22.88,43.27,16.55,136.27
2019-01-06,24.7,22.88,15.99,15.8,87.61
2019-01-07,24.22,22.35,28.85,28.85,36.76
2019-01-08,24.78,21.2,39.15,41.13,142.5
2019-01-09,23.93,21.68,47.55,39.46,120.9
2019-01-10,23.96,21.72,33.29,33.29,105.66
2019-01-11,24.52,21.16,16.72,26.59,23.13
2019-01-12,24.46,21.59,13.26,22.49,44.25
2019-01-13,24.39,21.59,24.31,32.0,33.05
2019-01-14,24.33,21.7,66.7,43.0,48.88
2019-01-15,24.4,21.3,27.58,32.58,30.61
2019-01-16,25.18,21.56,23.32,27.79,30.05
2019-01-17,25.39,21.72,27.79,35.59,127.37
2019-01-18,26.63,22.56,35.95,28.86,46.27
2019-01-19,26.5,22.58,16.36,13.16,45.36
2019-01-20,26.38,22.58,22.35,14.72,37.65
2019-01-21,26.25,22.63,36.92,36.92,27.05
2019-01-22,26.94,21.61,28.27,31.48,29.0
2019-01-23,26.47,21.72,42.63,42.63,60.99
2019-01-24,25.85,22.17,56.7,56.55,56.58
2019-01-25,25.68,21.38,41.72,41.72,37.96
2019-01-26,25.29,20.6,18.46,21.98,70.0
2019-01-27,24.89,20.6,43.21,28.25,80.36
2019-01-28,24.5,20.67,27.08,27.3,86.84
2019-01-29,25.08,20.5,28.21,27.17,22.61
2019-01-30,24.72,20.4,25.43,25.91,202.04
2019-01-31,23.9,20.53,33.41,33.41,23.66
2019-02-01,23.55,19.8,15.56,31.47,34.78
2019-02-02,23.91,19.46,16.9,16.9,88.99
2019-02-03,24.27,19.46,15.14,19.53,32.44
2019-02-04,24.63,19.46,22.12,27.33,207.91
2019-02-05,24.74,18.97,32.05,23.43,26.81
2019-02-06,25.24,19.19,18.61,25.48,30.24
2019-02-07,25.02,18.99,16.29,19.5,34.77
2019-02-08,23.91,18.99,26.78,23.04,23.91
2019-02-09,23.93,18.24,38.22,31.51,68.58
2019-02-10,23.95,18.24,31.67,24.66,44.86
2019-02-11,23.97,18.34,53.36,41.76,59.11
2019-02-12,22.25,17.89,25.48,23.17,61.93
2019-02-13,22.51,17.87,17.12,27.63,65.98
2019-02-14,21.37,17.76,25.2,25.2,30.67
2019-02-15,22.04,17.92,21.54,21.54,55.45
2019-02-16,21.89,17.71,20.97,19.38,48.5
